______________________________
|          t |            Vy |
|   0.484055 |  1.216748e-05 |
|   0.485105 | -2.434812e-05 |
|   0.486155 |  1.577434e-06 |
|   0.487205 | -4.950234e-06 |
|   0.488255 | -9.776916e-06 |
|   0.489305 | -9.133616e-06 |
|   0.490355 |  1.690074e-05 |
|   0.491405 | -5.844218e-07 |
|   0.492455 | -7.693501e-06 |
|   0.493505 |  1.482906e-05 |
|   0.494555 | -2.560676e-06 |
|   0.495605 | -2.673714e-05 |
|   0.496655 | -2.864632e-06 |
|   0.497705 |  1.606469e-05 |
|   0.498755 | -9.758884e-07 |
|   0.499805 | -2.481617e-05 |
|   0.500855 |  2.249875e-05 |
|   0.501905 | -9.235218e-08 |
|   0.502955 |  4.332649e-06 |
|   0.504005 | -5.190840e-06 |
|   0.505055 | -8.807548e-06 |
|   0.506105 |  1.426495e-07 |
|   0.507155 | -6.944790e-06 |
|   0.508205 | -2.250430e-07 |
|   0.509255 |  3.189001e-05 |
|   0.510305 |  2.909439e-06 |
|   0.511355 | -2.468713e-05 |
|   0.512405 |  1.316390e-05 |
|   0.513455 |  5.720751e-06 |
|   0.514505 | -5.696205e-06 |
|   0.515555 |  2.504797e-05 |
|   0.516605 | -2.830354e-06 |
|   0.517655 | -1.205269e-05 |
|   0.518705 | -4.991327e-06 |
|   0.519755 | -5.956531e-06 |
|   0.520805 |  7.234204e-06 |
|   0.521855 |  1.018518e-05 |
|   0.522905 | -1.111575e-05 |
|   0.523955 | -1.794906e-05 |
|   0.525005 | -1.647130e-05 |
|   0.526055 |  3.442393e-06 |
|   0.527105 |  7.736309e-06 |
|   0.528155 | -4.460304e-06 |
|   0.529205 |  9.729644e-06 |
|   0.530255 |  5.354229e-06 |
|   0.531305 | -8.588405e-06 |
|   0.532355 |  1.540244e-05 |
|   0.533405 | -1.334836e-05 |
|   0.534455 |  8.749096e-06 |
|   0.535505 | -1.197869e-05 |
|   0.536555 | -6.661233e-06 |
|   0.537605 |  9.965029e-06 |
|   0.538655 | -1.518104e-05 |
|   0.539705 | -1.679827e-06 |
|   0.540755 |  4.563622e-06 |
|   0.541805 | -1.802443e-05 |
|   0.542855 | -5.841316e-06 |
|   0.543905 | -8.694063e-06 |
|   0.544955 |  1.399872e-05 |
|   0.546005 | -1.672752e-05 |
|   0.547055 |  1.904190e-05 |
|   0.548105 |  7.477016e-06 |
|   0.549155 |  1.111750e-07 |
|   0.550206 |  2.142451e-07 |
|   0.551256 | -1.772935e-06 |
|   0.552306 | -1.218377e-05 |
|   0.553356 |  3.979844e-06 |
|   0.554406 | -6.656959e-06 |
|   0.555456 |  6.815349e-06 |
|   0.556506 |  1.134565e-05 |
|   0.557556 |  7.781864e-06 |
|   0.558606 | -2.021302e-06 |
|   0.559656 | -1.745005e-06 |
|   0.560706 | -8.141231e-06 |
|   0.561756 |  1.307751e-05 |
|   0.562806 | -2.822499e-07 |
|   0.563856 | -3.543597e-06 |
|   0.564906 | -2.001526e-05 |
|   0.565956 | -6.459409e-06 |
|   0.567006 | -8.645224e-06 |
|   0.568056 |  2.141915e-06 |
|   0.569106 | -2.054105e-05 |
|   0.570156 |  3.575810e-06 |
|   0.571206 |  1.605195e-05 |
|   0.572256 | -1.278430e-05 |
|   0.573306 | -7.026819e-06 |
|   0.574356 |  3.983158e-06 |
|   0.575406 |  3.216751e-06 |
|   0.576456 | -6.858453e-06 |
|   0.577506 | -1.135971e-05 |
|   0.578556 | -4.956301e-06 |
|   0.579606 | -5.220931e-07 |
|   0.580656 | -1.313777e-05 |
|   0.581706 | -3.516249e-06 |
|   0.582756 | -1.020011e-05 |
|   0.583806 |  2.363744e-05 |
|   0.584856 |  1.951723e-05 |
|   0.585906 | -1.812591e-05 |
|   0.586956 |  7.435030e-06 |
|   0.588006 |  1.576013e-05 |
|   0.589056 |  1.175438e-05 |
|   0.590106 |  1.649363e-05 |
|   0.591156 | -3.460289e-06 |
|   0.592206 | -6.332503e-06 |
|   0.593256 |  1.457721e-05 |
|   0.594306 | -5.019095e-06 |
|   0.595356 | -8.704453e-06 |
|   0.596406 |  7.417446e-06 |
|   0.597456 | -2.386126e-05 |
|   0.598506 |  1.640143e-06 |
|   0.599556 |  2.107360e-05 |
|   0.600606 |  1.619186e-05 |
|   0.601656 | -1.633284e-05 |
|   0.602706 |  1.293657e-05 |
|   0.603756 |  5.094496e-06 |
|   0.604806 |  1.756251e-05 |
|   0.605856 | -1.147937e-05 |
|   0.606906 |  1.076891e-05 |
|   0.607956 |  8.012219e-06 |
|   0.609006 | -1.460167e-05 |
|   0.610056 | -7.519468e-06 |
|   0.611106 |  1.551302e-05 |
|   0.612156 |  1.108703e-05 |
|   0.613206 | -1.279414e-05 |
|   0.614256 |  7.696924e-06 |
|   0.615306 |  5.780207e-06 |
|   0.616356 |  2.732198e-06 |
|   0.617406 | -3.960069e-06 |
|   0.618456 | -1.814732e-05 |
|   0.619506 |  3.245494e-06 |
|   0.620556 | -1.037723e-05 |
|   0.621606 | -1.031044e-05 |
|   0.622656 |  3.784818e-06 |
|   0.623706 |  8.129547e-06 |
|   0.624756 |  1.657968e-05 |
|   0.625806 |  1.038788e-05 |
|   0.626856 |  1.330809e-06 |
|   0.627906 |  1.019419e-06 |
|   0.628956 | -3.454753e-06 |
|   0.630006 | -1.998811e-05 |
|   0.631056 | -8.845471e-07 |
|   0.632106 |  5.210216e-06 |
|   0.633156 | -4.396790e-06 |
|   0.634206 | -6.923186e-06 |
|   0.635256 | -1.791073e-07 |
|   0.636306 | -3.916891e-06 |
|   0.637356 |  7.608482e-06 |
|   0.638406 | -1.766129e-05 |
|   0.639456 |  6.777215e-06 |
|   0.640506 | -1.146190e-05 |
|   0.641556 | -3.232161e-06 |
|   0.642606 |  4.602413e-06 |
|   0.643656 |  1.609322e-05 |
|   0.644706 | -3.835240e-07 |
|   0.645756 | -7.804092e-06 |
|   0.646806 | -1.002912e-05 |
|   0.647856 | -5.122857e-06 |
|   0.648906 |  2.460506e-05 |
|   0.649956 | -1.731774e-05 |
|   0.651007 | -1.780997e-05 |
|   0.652057 | -3.683886e-07 |
|   0.653107 |  6.350103e-06 |
|   0.654157 |  5.938886e-06 |
|   0.655207 | -1.952084e-05 |
|   0.656257 |  6.437318e-06 |
|   0.657307 | -1.089683e-05 |
|   0.658357 | -1.846137e-05 |
|   0.659407 | -1.699544e-05 |
|   0.660457 |  1.997042e-06 |
|   0.661507 |  7.260568e-06 |
|   0.662557 | -2.745274e-06 |
|   0.663607 |  3.101247e-05 |
|   0.664657 | -7.809499e-07 |
|   0.665707 | -1.299837e-05 |
|   0.666757 | -3.815772e-06 |
|   0.667807 |  9.787714e-07 |
|   0.668857 | -6.828822e-06 |
|   0.669907 |  4.359828e-06 |
|   0.670957 | -1.427235e-05 |
|   0.672007 |  7.743781e-06 |
|   0.673057 | -1.715987e-05 |
|   0.674107 | -4.840325e-06 |
|   0.675157 |  2.901447e-07 |
|   0.676207 | -1.351903e-06 |
|   0.677257 | -4.351593e-07 |
|   0.678307 |  7.786304e-06 |
|   0.679357 | -1.297584e-05 |
|   0.680407 | -5.463969e-06 |
|   0.681457 |  4.491888e-06 |
|   0.682507 |  1.675580e-05 |
|   0.683557 | -1.556940e-06 |
|   0.684607 |  3.123669e-06 |
|   0.685657 | -3.987502e-06 |
|   0.686707 | -1.193749e-05 |
|   0.687757 | -9.594763e-06 |
|   0.688807 |  6.289970e-06 |
|   0.689857 | -1.897811e-06 |
|   0.690907 | -4.398248e-06 |
|   0.691957 | -5.872084e-06 |
|   0.693007 | -1.148733e-05 |
|   0.694057 |  3.481798e-06 |
|   0.695107 | -5.545184e-06 |
|   0.696157 |  1.164973e-05 |
|   0.697207 | -6.978028e-06 |
